"","female","pid_self","postvote_presvtwho","relig_import","ft_dem","ft_rep","health_2010hcr","age","vote.obama","democrat","republican","independent","support.aca"
"1062",0,3,NA,1,"40","70",2,71,NA,0,0,1,0
"1063",1,NA,2,1,"40","70",2,26,0,NA,NA,NA,0
"1064",1,1,1,1,"70","50",3,42,1,1,0,0,0
"1065",0,2,2,1,"30","85",3,66,0,0,1,0,0
"1066",1,2,NA,1,"30","30",2,35,NA,0,1,0,0
"1067",0,2,2,1,"40","70",2,21,0,0,1,0,0
"1068",1,1,NA,1,"70","15",2,72,NA,1,0,0,0
"1069",1,3,2,1,"30","40",2,84,0,0,0,1,0
"1070",1,2,2,1,"30","70",2,81,0,0,1,0,0
"1071",1,3,NA,1,"85","70",1,70,NA,0,0,1,1
"1072",1,3,1,1,"60","30",1,55,1,0,0,1,1
"1073",1,3,NA,1,"70","50",1,22,NA,0,0,1,1
"1074",0,1,2,1,"0","60",2,56,0,1,0,0,0
"1075",1,1,1,0,"100","0",1,53,1,1,0,0,1
"1076",1,2,2,1,"0","95",2,41,0,0,1,0,0
"1077",0,2,2,1,"50","60",2,50,0,0,1,0,0
"1078",1,3,1,1,"50","50",3,52,1,0,0,1,0
"1079",0,3,NA,1,"0","100",2,59,NA,0,0,1,0
"1080",0,1,1,1,"60","0",1,60,1,1,0,0,1
"1081",1,2,2,1,"15","85",2,64,0,0,1,0,0
"1082",0,3,NA,0,"85","85",3,37,NA,0,0,1,0
"1083",0,3,1,1,"100","40",1,35,1,0,0,1,1
"1084",0,1,1,1,"85","0",1,55,1,1,0,0,1
"1085",1,1,1,1,"85","15",1,40,1,1,0,0,1
"1086",0,NA,NA,0,"70","60",3,47,NA,NA,NA,NA,0
"1087",1,1,1,1,"100","40",1,56,1,1,0,0,1
"1088",0,3,NA,0,"50","50",2,68,NA,0,0,1,0
"1089",0,3,1,1,"60","30",2,27,1,0,0,1,0
"1090",1,3,NA,1,"60","50",3,20,NA,0,0,1,0
"1091",1,1,1,1,"85","50",1,39,1,1,0,0,1
"1092",0,1,NA,1,"85","30",1,30,NA,1,0,0,1
"1093",1,1,1,1,"85","15",1,22,1,1,0,0,1
"1094",1,1,NA,0,"85","40",1,49,NA,1,0,0,1
"1095",0,1,1,1,"85","50",1,44,1,1,0,0,1
"1096",1,1,1,1,"85","15",1,24,1,1,0,0,1
"1097",1,3,2,0,"15","15",2,65,0,0,0,1,0
"1098",0,3,NA,1,"50","50",1,60,NA,0,0,1,1
"1099",1,1,1,1,"60","40",1,39,1,1,0,0,1
"1100",0,2,NA,0,"30","30",2,74,NA,0,1,0,0
"1101",1,3,1,1,"60","15",1,67,1,0,0,1,1
"1102",1,3,1,1,"15","15",2,24,1,0,0,1,0
